meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,2,7,2023-09-16T13:13:59.842000+00:00,,52.075,36.684,288,273,True,258.291,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",
1219,9161,2,8,2023-09-16T13:16:04.574000+00:00,27.263,39.523,26.466,311,279,False,93.252,"[2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2048, 2051, 2048, 2048, 2049, 2048]",300.0
1219,9161,2,9,2023-09-16T13:17:37.775000+00:00,44.937,49.241,49.9,119,247,False,144.078,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",291.0
1219,9161,4,1,2023-09-16T13:00:35.231000+00:00,,49.642,35.501,265,246,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049]",
1219,9161,4,2,2023-09-16T13:02:39.822000+00:00,27.252,39.192,26.112,309,279,False,92.556,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2051, 2051, 2051, 2049, 2049]",300.0
1219,9161,4,3,2023-09-16T13:04:12.352000+00:00,47.299,64.773,44.397,138,140,False,156.469,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",234.0
1219,9161,4,4,2023-09-16T13:06:48.849000+00:00,49.335,61.445,37.569,93,196,False,148.349,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",190.0
1219,9161,4,5,2023-09-16T13:09:17.222000+00:00,27.087,39.334,26.062,310,278,False,92.483,"[2051, 2048, 2049, 2048, 2051, 2049, 2051, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2051, 2049, 2049, 2049]",302.0
1219,9161,4,6,2023-09-16T13:10:49.720000+00:00,32.856,49.883,38.808,192,186,False,121.547,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",251.0
1219,9161,4,7,2023-09-16T13:15:18.028000+00:00,,49.995,45.682,275,265,True,285.237,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1219,9161,4,8,2023-09-16T13:17:36.447000+00:00,27.251,38.97,27.07,313,281,False,93.291,"[2048, 2048, 2049, 2048, 2051, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2049, 2048, 2048, 2048, 2048, 2048]",296.0
1219,9161,4,9,2023-09-16T13:19:09.742000+00:00,47.014,60.547,48.355,152,143,False,155.916,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",170.0
1219,9161,4,10,2023-09-16T13:53:23.269000+00:00,,52.858,42.148,280,247,True,2030.401,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2051, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,4,11,2023-09-16T13:55:36.016000+00:00,27.033,38.921,25.997,312,278,False,91.951,"[2049, 2051, 2049, 2049, 2051, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2051, 2049, 2049]",301.0
