meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1220,9169,4,6,2023-09-23T06:46:13.714000+00:00,40.334,50.311,25.401,240.0,268.0,False,116.046,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",230.0
1220,9169,4,7,2023-09-23T07:02:50.969000+00:00,,49.762,24.453,233.0,254.0,True,1000.682,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049]",228.0
1220,9169,4,8,2023-09-23T07:04:50.499000+00:00,31.025,40.421,18.047,280.0,307.0,False,89.493,"[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049]",301.0
1220,9169,4,9,2023-09-23T07:06:19.920000+00:00,38.527,47.636,24.398,249.0,276.0,False,110.561,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",226.0
1220,9169,4,10,2023-09-23T07:10:25.886000+00:00,,50.164,26.509,237.0,265.0,True,254.754,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048]",174.0
1220,9169,4,11,2023-09-23T07:12:25.291000+00:00,30.916,40.655,18.051,280.0,307.0,False,89.622,"[2049, 2049, 2049, 2051, 2048, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",301.0
1220,9169,4,12,2023-09-23T07:13:54.915000+00:00,41.233,49.49,29.176,235.0,250.0,False,119.899,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",194.0
1220,9169,10,1,2023-09-23T06:04:38.727000+00:00,,53.446,22.885,223.0,273.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",179.0
1220,9169,10,2,2023-09-23T06:06:45.100000+00:00,31.899,41.332,18.252,281.0,305.0,False,91.483,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048]",305.0
1220,9169,10,3,2023-09-23T06:08:16.599000+00:00,,,,,,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",[2048],
