Track,Global_Corner_ID,driver_number,Entry_Speed,Apex_Speed,Exit_Speed,Speed_Delta,Braking_Pct_Before_Apex,Trail_Braking_Pct,Throttle_App_Pct_After_Apex,Coasting_Pct,Braking_Time_Pct,Average_Throttle,Min_Gear,Corner_Distance_m,Average_Speed
Monza,101,1,137,87,87,50,1.0,1.0,0.0,0.0,0.8333333333333334,0.0,2,531.8908421309983,105.16666666666667
Monza,101,2,127,85,85,42,0.56704116906986,0.56704116906986,1.0,0.43295883093014,0.6666666666666666,0.0,2,508.2416765217275,98.83333333333333
Monza,101,4,168,87,87,81,0.8815165501846403,0.8815165501846403,1.0,0.1184834498153597,0.8,0.0,2,777.6256475286692,119.2
Monza,101,10,170,88,88,82,1.0,1.0,1.0,0.0,1.0,0.0,2,590.235492501368,119.0
Monza,101,11,172,87,87,85,1.0,1.0,0.0,0.0,1.0,0.0,2,618.7875950859911,119.57142857142857
Monza,101,14,136,80,80,56,0.8074747522659738,0.8074747522659738,1.0,0.19252524773402616,0.8,0.2,2,521.2012871059662,103.6
Monza,101,16,254,83,83,171,0.9112025797951757,0.9112025797951757,1.0,0.08879742020482427,0.8,0.0,2,895.4202199132935,144.6
Monza,101,18,118,81,81,37,0.7982004811107923,0.7982004811107923,1.0,0.20179951888920755,0.6666666666666666,0.16666666666666666,2,471.0967816620671,96.33333333333333
Monza,101,20,139,86,86,53,1.0,1.0,1.0,0.0,1.0,0.0,2,472.1802936874317,106.57142857142857
Monza,101,22,154,81,81,73,0.9159411005500027,0.9159411005500027,1.0,0.08405889944999721,0.8333333333333334,0.0,2,592.6757922634955,115.16666666666667
Monza,101,23,142,90,90,52,1.0,1.0,1.0,0.0,1.0,0.0,2,677.2015200314485,113.16666666666667
Monza,101,24,142,87,87,55,1.0,1.0,1.0,0.0,1.0,0.0,2,522.009039748517,112.66666666666667
Monza,101,27,130,82,82,48,0.7232622713810372,0.7232622713810372,1.0,0.27673772861896284,0.5714285714285714,0.8571428571428571,2,469.8402705328841,98.28571428571429
Monza,101,31,133,86,86,47,1.0,1.0,0.0,0.0,1.0,0.0,2,505.13835533008137,106.5
Monza,101,40,142,88,88,54,1.0,1.0,1.0,0.0,1.0,0.0,2,858.9558833619487,111.83333333333333
Monza,101,44,171,88,88,83,0.6668339681896489,0.6668339681896489,1.0,0.3331660318103511,0.6666666666666666,0.0,3,517.324460246626,119.66666666666667
Monza,101,55,133,87,87,46,1.0,1.0,0.0,0.0,1.0,0.0,2,523.5925738967541,106.0
Monza,101,63,147,90,90,57,0.8295244389763591,0.8295244389763591,1.0,0.17047556102364084,0.8571428571428571,0.0,3,531.572300038401,109.85714285714286
Monza,101,77,137,81,81,56,1.0,1.0,0.0,0.0,1.0,2.857142857142857,2,493.5224777750981,101.71428571428571
Monza,101,81,183,83,83,100,0.7813954932571278,0.7813954932571278,1.0,0.2186045067428722,0.6666666666666666,0.0,2,845.7030343618345,118.0
Monza,102,1,86,74,87,12,0.0,0.0,1.0,0.47956383908044703,0.0,14.666666666666666,2,376.71509978594077,79.5
Monza,102,2,81,69,80,12,0.2861338612868627,0.2861338612868627,1.0,0.36458647535847793,0.125,9.875,2,374.5968930754418,73.75
Monza,102,4,82,71,92,11,0.0,0.0,1.0,0.468474527366974,0.0,22.0,2,506.5164507957666,77.875
Monza,102,10,77,70,77,7,0.0,0.0,1.0,0.492180167120743,0.0,18.666666666666668,2,405.4716355681134,74.16666666666667
Monza,102,11,80,66,75,14,0.1488496337488046,0.1488496337488046,1.0,0.38235178781008583,0.14285714285714285,12.571428571428571,2,408.5662216577143,72.85714285714286
Monza,102,14,84,70,89,14,0.5380195627693388,0.5380195627693388,1.0,0.11971934065560735,0.14285714285714285,22.285714285714285,2,484.8982693765025,77.28571428571429
Monza,102,16,84,74,84,10,0.48588642683149624,0.48588642683149624,1.0,0.19184725466107735,0.3333333333333333,21.166666666666668,2,353.988424308564,78.5
Monza,102,18,79,69,85,10,0.0,0.0,1.0,0.33772805473005624,0.0,18.571428571428573,2,369.5622460540688,75.57142857142857
Monza,102,20,80,71,80,9,0.0,0.0,1.0,0.5072061926915862,0.0,14.666666666666666,2,392.2095851088831,75.16666666666667
Monza,102,22,81,70,82,11,0.0,0.0,1.0,0.43777171622637395,0.0,18.666666666666668,2,420.75259300874285,76.5
Monza,102,23,82,73,79,9,0.2896043869047747,0.2896043869047747,1.0,0.4287885696540695,0.14285714285714285,7.142857142857143,2,341.18809382150573,76.28571428571429
Monza,102,24,80,66,77,14,0.6054465270949184,0.6054465270949184,1.0,0.23683802021966627,0.2857142857142857,12.0,2,373.70001207153297,72.0
Monza,102,27,82,74,89,8,0.0,0.0,1.0,0.4845681049695559,0.0,19.375,2,449.04873125857534,79.625
