track,global_corner_id,driver_number,entry_speed,apex_speed,exit_speed,speed_drop,braking_pct_before_apex,trail_braking_pct,throttle_app_pct_after_apex,coasting_pct,braking_time_pct,average_throttle,min_gear,average_speed
Spa,313,55,314,314,314,0,0.0,0.0,0.37395105269263734,0.0,0.0,99.2,8,314.2
Spa,313,63,312,312,312,0,0.0,0.0,0.0,0.0,0.0,100.0,8,312.0
Spa,313,77,312,312,312,0,0.0,0.0,0.15948820042977413,0.0,0.0,100.0,8,312.8
Spa,313,81,306,306,307,0,0.0,0.0,0.16933468371727872,0.0,0.0,99.0,8,306.6
Spa,314,1,315,311,311,4,0.0,0.0,1.0,0.0,0.0,100.0,8,313.5
Spa,314,3,315,310,310,5,0.0,0.0,1.0,0.0,0.0,100.0,8,312.2857142857143
Spa,314,4,309,304,304,5,0.0,0.0,1.0,0.0,0.0,99.0,8,306.6666666666667
Spa,314,10,323,320,320,3,0.0,0.0,0.6785602781215706,0.0,0.0,100.0,8,321.57142857142856
Spa,314,11,315,311,311,4,0.0,0.0,1.0,0.0,0.0,100.0,8,313.57142857142856
Spa,314,14,315,309,309,6,0.0,0.0,1.0,0.0,0.0,99.5,8,312.5
Spa,314,16,315,311,311,4,0.0,0.0,1.0,0.0,0.0,99.0,8,314.1666666666667
Spa,314,18,312,308,308,4,0.0,0.0,1.0,0.0,0.0,99.42857142857143,8,310.14285714285717
Spa,314,22,319,314,314,5,0.0,0.0,1.0,0.0,0.0,100.0,8,317.3333333333333
Spa,314,23,318,313,313,5,0.0,0.0,1.0,0.0,0.0,100.0,8,316.0
Spa,314,24,314,310,310,4,0.0,0.0,1.0,0.0,0.0,100.0,8,312.8333333333333
Spa,314,27,310,306,307,4,0.0,0.0,1.0,0.0,0.0,100.0,8,308.8333333333333
Spa,314,31,314,311,311,3,0.0,0.0,1.0,0.0,0.0,100.0,8,312.5
Spa,314,55,316,311,311,5,0.0,0.0,1.0,0.0,0.0,99.0,8,314.14285714285717
Spa,314,63,314,310,310,4,0.0,0.0,1.0,0.0,0.0,100.0,8,312.3333333333333
Spa,314,77,317,308,308,9,0.10590805688141162,0.0,1.0,0.0,0.14285714285714285,95.42857142857143,8,313.14285714285717
Spa,314,81,308,304,304,4,0.0,0.0,1.0,0.0,0.0,99.0,8,306.3333333333333
Spa,315,1,125,70,70,55,0.7507743189336069,0.7507743189336069,1.0,0.24922568106639306,0.625,0.625,2,91.0
Spa,315,2,113,61,61,52,0.6496747277176249,0.6496747277176249,1.0,0.350325272282375,0.5555555555555556,0.5555555555555556,2,79.88888888888889
Spa,315,3,114,57,57,57,0.7171709478422972,0.7171709478422972,1.0,0.15359084646722998,0.6363636363636364,2.272727272727273,2,77.45454545454545
Spa,315,4,150,75,75,75,0.7857161066640732,0.7857161066640732,1.0,0.21428389333592684,0.75,0.5,2,104.75
Spa,315,10,122,71,71,51,0.4934749400895734,0.4934749400895734,0.0,0.5065250599104266,0.4,0.0,2,88.2
Spa,315,11,115,69,69,46,0.6900497067528445,0.6900497067528445,1.0,0.3099502932471555,0.5555555555555556,1.8888888888888888,2,87.55555555555556
Spa,315,14,112,68,68,44,0.5988743588532046,0.5988743588532046,1.0,0.4011256411467954,0.75,1.0,2,88.375
Spa,315,16,128,71,71,57,0.8297732651685025,0.8297732651685025,1.0,0.0,0.6666666666666666,5.222222222222222,2,90.77777777777777
Spa,315,18,131,70,70,61,0.5764193107796732,0.5764193107796732,1.0,0.40790606875883184,0.5454545454545454,2.5454545454545454,2,89.63636363636364
Spa,315,20,119,63,63,56,0.8150537775911901,0.8150537775911901,1.0,0.1849462224088098,0.8,0.1,3,86.6
Spa,315,22,138,70,70,68,0.7675439114708357,0.7675439114708357,1.0,0.2324560885291644,0.75,0.5,2,98.125
Spa,315,23,79,65,66,14,0.28244554396598004,0.28244554396598004,1.0,0.5476678804278242,0.4,2.4,2,70.4
Spa,315,24,110,63,65,47,0.9175754742061222,0.9175754742061222,1.0,0.08707020847926043,0.5833333333333334,3.5833333333333335,2,75.83333333333333
Spa,315,27,118,52,52,66,0.754012885797357,0.754012885797357,1.0,0.21325751203567536,0.6363636363636364,1.3636363636363635,2,80.0
Spa,315,31,93,57,59,36,0.5496015006046093,0.5496015006046093,1.0,0.24510381706788023,0.5,2.25,2,71.75
Spa,315,44,118,69,69,49,0.8762397122061234,0.8762397122061234,1.0,0.1237602877938766,0.8333333333333334,0.6666666666666666,2,94.66666666666667
Spa,315,55,127,68,68,59,0.7391879865533972,0.7391879865533972,0.0,0.0,0.6666666666666666,4.111111111111111,2,89.88888888888889
Spa,315,63,140,66,66,74,0.8268144699794089,0.8268144699794089,1.0,0.05931716077985416,0.75,1.875,2,96.5
Spa,315,77,111,65,65,46,0.8844540127653698,0.8844540127653698,1.0,0.11554598723463008,0.7777777777777778,0.4444444444444444,2,84.66666666666667
Spa,315,81,115,73,73,42,0.688274437757351,0.688274437757351,1.0,0.31172556224264913,0.6666666666666666,0.7777777777777778,2,92.77777777777777
Spa,316,1,84,75,80,9,0.0,0.0,1.0,0.35163553088961064,0.0,14.625,2,78.75
Spa,316,2,70,53,74,17,0.2481599978436864,0.2481599978436864,1.0,0.3209056964545537,0.15384615384615385,9.692307692307692,2,60.30769230769231
Spa,316,3,71,59,75,12,0.0,0.0,1.0,0.3792920415594353,0.0,16.916666666666668,2,64.66666666666667
Spa,316,4,83,71,81,12,0.21445332690585978,0.21445332690585978,1.0,0.331914886369333,0.1,16.4,2,75.1
Spa,316,10,76,61,87,15,0.0,0.0,1.0,0.4361039999820726,0.0,22.545454545454547,2,70.54545454545455
Spa,316,11,77,72,101,5,0.0,0.0,1.0,0.3373900656790361,0.0,30.333333333333332,2,81.33333333333333
Spa,316,14,81,70,90,11,0.0,0.0,1.0,0.4528879796848225,0.0,16.6,2,77.3
Spa,316,16,84,67,81,17,0.5469956711933665,0.5469956711933665,1.0,0.14607245323156498,0.18181818181818182,23.09090909090909,2,74.63636363636364
Spa,316,18,81,68,83,13,0.0,0.0,1.0,0.46981304048660544,0.0,14.88888888888889,2,76.11111111111111
Spa,316,20,74,64,82,10,0.0,0.0,1.0,0.18501051031760074,0.0,15.909090909090908,3,70.72727272727273
Spa,316,22,74,65,74,9,0.28007270806457585,0.28007270806457585,1.0,0.32006703689713034,0.1111111111111111,19.11111111111111,2,71.0
Spa,316,23,78,52,71,26,0.48020200828442194,0.48020200828442194,1.0,0.33025231921282644,0.2727272727272727,7.2727272727272725,2,62.81818181818182
Spa,316,24,70,56,71,14,0.26431170156880435,0.26431170156880435,1.0,0.38854287890466366,0.08333333333333333,13.5,2,62.0
Spa,316,27,64,50,53,14,0.1810196891534781,0.1810196891534781,1.0,0.3474856122808609,0.18181818181818182,10.363636363636363,2,60.45454545454545
Spa,316,31,71,58,71,13,0.0,0.0,1.0,0.5795032974680235,0.0,13.1,2,63.2
Spa,316,44,83,70,91,13,0.0,0.0,1.0,0.2737317473311179,0.0,26.444444444444443,2,76.44444444444444
Spa,316,55,85,72,91,13,0.38334980236700317,0.38334980236700317,1.0,0.0,0.1111111111111111,36.666666666666664,2,79.0
Spa,316,63,83,70,86,13,0.17981638453551302,0.17981638453551302,1.0,0.3595149216403023,0.1,20.2,3,76.5
Spa,316,77,82,67,76,15,0.582744969861577,0.582744969861577,1.0,0.15051895094558465,0.2727272727272727,10.909090909090908,2,73.0909090909091
Spa,316,81,82,70,98,12,0.0,0.0,1.0,0.22027755837864932,0.0,24.375,2,79.5
Suzuka,401,1,335,173,193,162,0.7654665649081112,0.5781078680156442,0.6296392413721821,0.0,0.5,39.44444444444444,5,227.22222222222223
Suzuka,401,2,332,160,182,172,0.8980141471055523,0.7662644254265916,1.0,0.03482611945889373,0.55,28.1,5,214.45
